Issue Type;Issue key;Issue id;Parent id;Summary;Assignee;Priority;Status;Sprint;Custom field (Story Points);ë£ Original Estimate;ë£ Remaining Estimate;Labels;Labels;Labels;Created;Custom field (Epic Link)
Bug;Project1-1576;13503;;Title task 113;assignee2;Medium;Done;Project1 Sprint 14;5.0;14400;0;SDK-LIB;;;11/Dec/18 1:07 PM;
Bug;Project1-1570;13497;;Title task 114;assignee12;Medium;Done;Project1 Sprint 14;3.0;10800;0;SDK-3;;;11/Dec/18 1:07 PM;
Bug;Project1-1568;13495;;Title task 115;assignee6;Medium;Done;Project1 Sprint 14;5.0;18000;0;Device_Service;;;11/Dec/18 1:07 PM;
Bug;Project1-1565;13492;;Title task 116;assignee6;Medium;Done;Project1 Sprint 14;8.0;30600;0;SDK-2;;;11/Dec/18 1:07 PM;
Bug;Project1-1564;13491;;Title task 117;assignee12;Medium;Done;Project1 Sprint 12;5.0;18000;0;SDK-4;;;11/Dec/18 1:07 PM;
Bug;Project1-1549;13429;;Title task 118;assignee1;Medium;Done;Project1 Sprint 14;5.0;21600;0;Notification_Service;;;04/Dec/18 8:51 AM;
Story;Project1-1499;13343;;Title task 119;assignee12;Medium;Done;Sprint 11;34.0;153000;0;;;;27/11/18 14:44;
Bug;Project1-1485;13285;;Title task 120;assignee2;Medium;Done;Project1 Sprint 14;5.0;;0;SDK-9;;;22/11/18 15:37;
Bug;Project1-1483;13283;;Title task 121;assignee2;Medium;Done;Project1 Sprint 14;3.0;;0;SDK-5;;;22/11/18 11:15;
Bug;Project1-1482;13282;;Title task 122;assignee2;Medium;Done;Project1 Sprint 14;3.0;;0;SDK-5;;;22/11/18 11:14;
Bug;Project1-1480;13280;;Title task 123;assignee12;Medium;Done;Project1 Sprint 14;;;;SDK-4;;;22/11/18 08:10;
Bug;Project1-1468;13263;;Title task 124;assignee12;Medium;Done;Project1 Sprint 14;;;;SDK-6;;;20/11/18 15:28;
Bug;Project1-1466;13261;;Title task 125;assignee9;Medium;Done;Project1 Sprint 14;5.0;18000;0;SDK-3;;;20/11/18 15:28;
Task;Project1-1458;13232;;Title task 126;assignee11;Medium;Done;Project1 Sprint 13;5.0;91800;0;;;;19/11/18 16:06;Project2-1
Story;Project1-1442;13196;;Title task 127;assignee2;Low;Done;Project1 Sprint 14;1.0;;0;SDK-9;;;16/11/18 15:14;
Bug;Project1-1370;13102;;Title task 128;assignee2;Medium;Done;Project1 Sprint 14;2.0;;0;SDK-4;;;08/11/18 17:14;
Bug;Project1-1338;13060;;Title task 129;assignee1;Medium;Done;Project1 Sprint 14;3.0;14400;0;Notification_Service;;;05/11/18 17:07;
Bug;Project1-1329;13051;;Title task 130;assignee7;Medium;Done;Project1 Sprint 14;3.0;3600;0;SDK-7;;;05/11/18 17:07;
Bug;Project1-1328;13050;;Title task 131;assignee7;Medium;Done;Project1 Sprint 14;3.0;7200;0;SDK-7;;;05/11/18 17:07;
Bug;Project1-1327;13049;;Title task 132;assignee2;Medium;Done;Project1 Sprint 14;3.0;;0;SDK-8;;;05/11/18 17:07;
Sub-task;Project1-1313;13010;11629;Title task 133;assignee6;Low;Done;Project1 Sprint 12;;21600;0;;;;30/10/18 19:00;
Story;Project1-1304;13001;;Title task 134;assignee6;Low;Done;Project1 Sprint 14;5.0;18000;0;;;;30/10/18 18:46;Project1-731
Bug;Project1-1297;12955;;Title task 135;assignee1;Medium;Done;Project1 Sprint 14;13.0;61200;0;NW_Service_Service;;;30/10/18 12:06;
Bug;Project1-1294;12952;;Title task 136;assignee2;Medium;Done;Project1 Sprint 14;5.0;;0;SDK-2;;;30/10/18 12:06;
Task;Project1-1201;12801;;Title task 137;assignee5;Medium;Done;Sprint 9;21.0;214200;0;;;;11/10/18 16:46;Project1-326
Story;Project1-1144;12653;;Title task 138;assignee9;Low;Done;Project1 Sprint 14;5.0;14400;0;;;;03/10/18 13:49;Project1-681
Task;Project1-1111;12547;;Title task 139;assignee9;Medium;Done;Project1 Sprint 14;13.0;32400;0;Config_service;;;28/09/18 14:36;
Story;Project1-992;12241;;Title task 140;assignee11;Medium;Done;Project1 Sprint 14;5.0;15300;0;;;;12/09/18 16:05;Project1-731
Story;Project1-690;11632;;Title task 141;assignee2;Medium;Done;Project1 Sprint 14;;;;;;;02/Aug/18 12:41 PM;Project1-516
